IPC	Parent_IPC	Level	Description	Description_EN
A		0	人类生活必需	HUMAN NECESSITIES
A01	A	1	农业；林业；畜牧业；狩猎；诱捕；捕鱼	AGRICULTURE; FORESTRY; ANIMAL HUSBANDRY; HUNTING; TRAPPING; FISHING
A01B	A01	2	农业或林业的整地；一般农业机械或农具的部件、零件或附件（用于播种、种植或施厩肥的开挖沟穴或覆盖沟穴入A01C 5/00；收获根作物的机械入A01D；可变换成整地设备或能够整地的割草机入A01D 42/04；与整地机具联合的割草机入A01D 43/12；工程目的的整地入E01，E02，E21）	SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL (making or covering furrows or holes for sowing, planting or manuring A01C 5/00; machines for harvesting root crops A01D; mowers convertible to soil working apparatus or capable of soil working A01D 42/04; mowers combined with soil working implements A01D 43/12; soil working for engineering purposes E01, E02, E21)
A01B1/00	A01B	3	手动工具（草坪修整机入A01G 3/06）	Hand tools (edge trimmers for lawns A01G 3/06)
A01B1/02	A01B1/00	4	锹；铲	Spades; Shovels
A01B1/04	A01B1/02	5	带齿的	with teeth
A01B1/06	A01B1/00	4	锄；手动中耕机	Hoes; Hand cultivators
A01B1/08	A01B1/06	5	带单铲刀的	with a single blade
A01B1/10	A01B1/06	5	带双铲刀或多铲刀的	with two or more blades
A01B1/12	A01B1/06	5	带齿铲刀的	with blades provided with teeth
A01B1/14	A01B1/06	5	只带齿的	with teeth only
A01B1/16	A01B1/00	4	拔草工具	Tools for uprooting weeds
A01B1/18	A01B1/16	5	钳式工具	Tong-like tools
A01B1/20	A01B1/00	4	不同类型手动工具的组合	Combinations of different kinds of hand tools
A01B1/22	A01B1/00	4	把铲刀或类似工作部件固接在手柄上（工具的手柄或其附件一般入B25G）；可更换或可调整的铲刀	Attaching the blades or the like to handles (handles for tools, or their attachment, in general B25G); Interchangeable or adjustable blades
A01B1/24	A01B1/00	4	处理草地或草坪用的 〔2〕	for treating meadows or lawns [2]
A01B11/00	A01B	3	带有振动、挖掘或穿孔工作部件的犁	Ploughs with oscillating, digging or piercing tools
A01B13/00	A01B	3	专门用途的犁或类似的机具（排水用的入E02B 11/02）	Ploughs or like machines for special purposes (for drainage E02B 11/02)
A01B13/02	A01B13/00	4	用于起垅或修垅的，例如带有对称配置的犁壁的	for making or working ridges, e.g. with symmetrically arranged mouldboards
A01B13/04	A01B13/00	4	用于葡萄园、果园等地作业的	for working in vineyards, orchards, or the like
A01B13/06	A01B13/04	5	防止损伤葡萄藤等作物的装置	Arrangements for preventing damage to the vines, or the like
A01B13/08	A01B13/00	4	用于耕整底土的	for working subsoil
A01B13/10	A01B13/08	5	掀起底土层的专用机具	Special implements for lifting subsoil layers
A01B13/12	A01B13/10	6	将底土布于地表的装置	Means for distributing the layers on the surface
A01B13/14	A01B13/00	4	用于耕整两层或多层土壤的	for working soil in two or more layers
A01B13/16	A01B13/00	4	控制土壤侵蚀的机械，例如水槽挖掘机、开沟打埂器	Machines for combating erosion, e.g. basin-diggers, furrow-dammers
A01B15/00	A01B	3	犁的构件、工作部件或零件	Elements, tools, or details of ploughs
A01B15/02	A01B15/00	4	犁刀；固定犁刀的	Plough blades; Fixing the blades
A01B15/04	A01B15/02	5	犁铧	Shares
A01B15/06	A01B15/04	6	可更换或可调整的犁铧	Interchangeable or adjustable shares
A01B15/08	A01B15/02	5	犁壁	Mouldboards
A01B15/10	A01B15/08	6	可更换或可调整的犁壁	Interchangeable or adjustable mouldboards
A01B15/12	A01B15/00	4	犁辕；手柄（工具或其附件的手柄一般入B25G）	Beams; Handles (handles for tools or their attachment in general B25G)
A01B15/14	A01B15/00	4	犁架（简便运输工具或装置入A01B 73/00） 〔4〕	Frames (means or arrangements to facilitate transportation A01B 73/00) [4]
A01B15/16	A01B15/00	4	圆犁刀（其轴承入A01B 71/04）；清理圆犁刀的刮土刀；刃磨附属设备（刃磨一般入B24）	Discs (bearings therefor A01B 71/04); Scrapers for cleaning discs; Sharpening attachments (sharpening in general B24)
A01B15/18	A01B15/00	4	犁刀	Coulters
A01B15/20	A01B15/00	4	拖拉机牵引式或悬挂式山地犁的工作部件专用调整装置	Special adjusting means for tools of ploughs drawn by, or mounted on tractors working on hillsides or slopes
A01B17/00	A01B	3	带专用附属装置的犁，例如带土下施肥工具、碎土器的（A01B 49/00优先；耕整底土的犁入A01B 13/08） 〔2〕	Ploughs with special additional arrangements, e.g. means for putting manure under the soil, clod-crushers (A01B 49/00 takes precedence; ploughs for working subsoil A01B 13/08) [2]
A01B19/00	A01B	3	带非旋转式工作部件的耙	Harrows with non-rotating tools
A01B19/02	A01B19/00	4	工作部件与机架刚性或弹性联结的	with tools rigidly or elastically attached to a tool-frame
A01B19/04	A01B19/02	5	带两个或多个机架的	with two or more tool-frames
A01B19/06	A01B19/02	5	工作部件或机架可以机械地往复运动的	with tools or tool-frames moved to-and-fro mechanically
A01B19/08	A01B19/00	4	带安装有钉齿状工作部件的链网的	with link network supporting tooth-like tools
A01B19/10	A01B19/00	4	提升或清理装置	Lifting or cleaning apparatus
A01B21/00	A01B	3	带非驱动式旋转工作部件的耙（带驱动式旋转工作部件的耕作机具入A01B 33/00）	Harrows with rotary non-driven tools (tilling implements with rotary driven tools A01B 33/00)
A01B21/02	A01B21/00	4	带钉齿状工作部件的	with tooth-like tools
A01B21/04	A01B21/02	5	安装在卧置轴上的	on horizontally-arranged axles
A01B21/06	A01B21/02	5	安装在立置轴上的	on vertically-arranged axles
A01B21/08	A01B21/00	4	带圆盘状工作部件的	with disc-like tools
A01B23/00	A01B	3	耙的构件、工作部件或零件	Elements, tools, or details of harrows
A01B23/02	A01B23/00	4	耙齿；固定耙齿	Teeth; Fixing the teeth
A01B23/04	A01B23/00	4	机架（简便运输装置或工具入A01B 73/00）；牵引装置 〔4〕	Frames (means or arrangements to facilitate transportation A01B 73/00); Drawing-arrangements [4]
A01B23/06	A01B23/00	4	圆盘耙片（A01B 15/16优先；所用的轴承入A01B 71/04）；清理圆盘耙片的刮土刀；刃磨附属装置（刃磨一般入B24） 〔2〕	Discs (A01B 15/16 takes precedence; bearings therefor A01B 71/04); Scrapers for cleaning discs; Sharpening attachments (sharpening in general B24) [2]
A01B25/00	A01B	3	有专门附属装置的耙，例如撒播肥料的装置；专门用途的耙（A01B 39/00优先） 	Harrows with special additional arrangements, e.g. means for distributing fertilisers; Harrows for special purposes (A01B 39/00 takes precedence)
A01B27/00	A01B	3	土块压碎机	Clod-crushers
A01B29/00	A01B	3	镇压器	Rollers
A01B29/02	A01B29/00	4	平滑表面的	with smooth surface
A01B29/04	A01B29/00	4	由镇压器体上安装的可转动圆环或圆盘，或带有的凸起或肋状结构而形成非平滑表面的；表土镇压器	with non-smooth surface formed of rotatably- mounted rings or discs or with projections or ribs on the roller body; Land packers
A01B29/06	A01B29/00	4	带专用附属装置的	with special additional arrangements
A01B3/00	A01B	3	装有固定式犁铧的犁	Ploughs with fixed plough-shares
A01B3/02	A01B3/00	4	人力犁	Man-driven ploughs
A01B3/04	A01B3/00	4	畜力牵引犁	Animal-drawn ploughs
A01B3/06	A01B3/04	5	不能双向使用的，即在回程时不能翻耕邻行的	without alternating possibility, i.e. incapable of making an adjacent furrow on return journey
A01B3/08	A01B3/06	6	摆杆步犁	Swing ploughs
A01B3/10	A01B3/06	6	桁架式辕犁；单轮犁	Trussed-beam ploughs; Single-wheel ploughs
A01B3/12	A01B3/06	6	双轮辕犁	Two-wheel beam ploughs
A01B3/14	A01B3/06	6	架式多铧犁	Frame ploughs
A01B3/16	A01B3/04	5	双向犁，即在回程时能翻耕邻行的	Alternating ploughs, i.e. capable of making an adjacent furrow on return journey
A01B3/18	A01B3/16	6	翻转犁壁双向犁	Turn-wrest ploughs
A01B3/20	A01B3/16	6	平衡犁	Balance ploughs
A01B3/22	A01B3/16	6	装有双向使用的平行犁机构的	with parallel plough units used alternately
A01B3/24	A01B3/00	4	拖拉机牵引犁（A01B 3/04优先）	Tractor-drawn ploughs (A01B 3/04 takes precedence)
A01B3/26	A01B3/24	5	不能双向使用的	without alternating possibility
A01B3/28	A01B3/24	5	双向犁	Alternating ploughs
A01B3/30	A01B3/28	6	翻转犁壁双向犁	Turn-wrest ploughs
A01B3/32	A01B3/28	6	平衡犁	Balance ploughs
A01B3/34	A01B3/28	6	装有双向使用平行犁机构的	with parallel plough units used alternately
A01B3/36	A01B3/00	4	拖拉机悬挂犁	Ploughs mounted on tractors
A01B3/38	A01B3/36	5	不能双向使用的	without alternating possibility
A01B3/40	A01B3/36	5	双向犁	Alternating ploughs
A01B3/42	A01B3/40	6	翻转犁壁双向犁	Turn-wrest ploughs
A01B3/421	A01B3/42	7	带有单体式悬挂架的 〔2〕	with a headstock frame made in one piece [2]
A01B3/426	A01B3/42	7	带有由两个或两个以上构件组成的悬挂架的 〔2〕	with a headstock frame made of two or more parts [2]
A01B3/44	A01B3/40	6	装有双向使用的平行犁机构的	with parallel plough units used alternately
A01B3/46	A01B3/00	4	半悬挂犁， 即一部分由拖拉机支持，另一部分由自身轮支撑	Ploughs supported partly by tractor and partly by their own wheels
A01B3/50	A01B3/00	4	自走式犁	Self-propelled ploughs
A01B3/52	A01B3/50	5	具有三轮或多轮的，或具有履带的	with three or more wheels, or endless tracks
A01B3/54	A01B3/52	6	不能双向使用的	without alternating possibility
A01B3/56	A01B3/52	6	双向犁	Alternating ploughs
A01B3/58	A01B3/50	5	双轮的	with two wheels
A01B3/60	A01B3/58	6	双向犁	Alternating ploughs
A01B3/62	A01B3/60	7	平衡犁	Balance ploughs
A01B3/64	A01B3/00	4	绳索犁；绳索犁系统的指示或信号装置	Cable ploughs; Indicating or signalling devices for cable plough systems
A01B3/66	A01B3/64	5	有装于犁上的机动绕线装置的	with motor-driven winding apparatus mounted on the plough
A01B3/68	A01B3/64	5	装有1台或两台发动机的绳索系统	Cable systems with one or two engines
A01B3/70	A01B3/68	6	装有1台用于爬坡作业的发动机的绳索系统	Systems with one engine for working uphill
A01B3/72	A01B3/64	5	铰系绳索的用具	Means for anchoring the cables
A01B3/74	A01B3/00	4	电力驱动犁（集电器入B60L 5/00）	Use of electric power for propelling ploughs (electric current collectors B60L 5/00)
A01B31/00	A01B	3	耢	Drags
A01B33/00	A01B	3	带驱动式旋转工作部件的耕作机具	Tilling implements with rotary driven tools
A01B33/02	A01B33/00	4	工作部件安装在与行进方向呈横向的水平轴上的	with tools on horizontal shaft transverse to direction of travel
A01B33/04	A01B33/00	4	工作部件安装在与行进方向平行的水平轴上的	with tools on horizontal shaft parallel to direction of travel
A01B33/06	A01B33/00	4	工作部件安装在垂直或陡斜的轴上的	with tools on vertical or steeply-inclined shaft
A01B33/08	A01B33/00	4	工作部件；零件，例如传动装置或齿轮装置	Tools; Details, e.g. adaptations of transmissions or gearings
A01B33/10	A01B33/08	5	工作部件的结构或功能特点	Structural or functional features of the tools
A01B33/12	A01B33/08	5	工作部件的配置；工作部件的防护板	Arrangement of the tools; Screening of the tools
A01B33/14	A01B33/08	5	工作部件与旋转轴的联结，例如弹性联结的工作部件	Attaching the tools to the rotating shaft, e.g. resiliently-attached tools
A01B33/16	A01B33/00	4	带专用附属装置的（A01B 49/00优先；用于播种或施肥的入A01B 49/06） 〔2〕	with special additional arrangements (A01B 49/00 takes precedence; for sowing or fertilising A01B 49/06) [2]
A01B35/00	A01B	3	其他整地机械（A01B 37/00，A01B 39/00，A01B 77/00优先）	Other machines for working soil (A01B 37/00, A01B 39/00, A01B 77/00 take precedence)
A01B35/02	A01B35/00	4	带非旋转工作部件的	with non-rotating tools
A01B35/04	A01B35/02	5	由畜力或拖拉机牵引的	drawn by animal or tractor
A01B35/06	A01B35/04	6	带弹性工作部件的	with spring tools
A01B35/08	A01B35/04	6	带刚性工作部件的	with rigid tools
A01B35/10	A01B35/02	5	悬挂在拖拉机上的	mounted on tractors
A01B35/12	A01B35/10	6	带弹性工作部件的	with spring tools
A01B35/14	A01B35/10	6	带刚性工作部件的	with rigid tools
A01B35/16	A01B35/00	4	带非驱动式旋转或循环工作部件的	with rotating or circulating non-propelled tools
A01B35/18	A01B35/00	4	同时带旋转或非旋转工作部件的	with both rotating and non-rotating tools
A01B35/20	A01B35/00	4	工作部件；零件	Tools; Details
A01B35/22	A01B35/20	5	非旋转工作部件；悬挂的非旋转工作部件	Non-rotating tools; Mounting non-rotating tools
A01B35/24	A01B35/22	6	弹性工作部件	Spring tools
A01B35/26	A01B35/22	6	刚性工作部件	Rigid tools
A01B35/28	A01B35/20	5	旋转工作部件；悬挂的旋转工作部件	Rotating tools; Mounting rotating tools
A01B35/30	A01B35/20	5	底盘（A01B 23/04优先） 〔2〕	Undercarriages (A01B 23/04 takes precedence) [2]
A01B35/32	A01B35/00	4	带专用附属装置的	with special additional arrangements
A01B37/00	A01B	3	疏松被车轮等压实的土壤的装置	Devices for loosening soil compacted by wheels or the like
A01B39/00	A01B	3	专门适用于长有作物的土地整地的其他专用机械	Other machines specially adapted for working soil on which crops are growing
A01B39/02	A01B39/00	4	带非旋转工作部件的	with non-rotating tools
A01B39/04	A01B39/02	5	由畜力或拖拉机牵引的	drawn by animal or tractor
A01B39/06	A01B39/02	5	自走式机械	Self-propelled machines
A01B39/08	A01B39/00	4	带旋转工作部件的	with rotating tools
A01B39/10	A01B39/00	4	带摆动工作部件的	with oscillating tools
A01B39/12	A01B39/00	4	专用的	for special purposes
A01B39/14	A01B39/12	5	作垄的	for working ridges
A01B39/16	A01B39/12	5	在葡萄园、果园等地作业的	for working in vineyards, orchards, or the like
A01B39/18	A01B39/12	5	除草用的	for weeding
A01B39/19	A01B39/18	6	杆式除草机，即具有在表土下推进的旋转杆的除草机	Rod weeders, i.e. weeder with rotary rods propelled beneath the soil surface
A01B39/20	A01B39/00	4	工作部件；零件	Tools; Details
A01B39/22	A01B39/20	5	工作部件；悬挂的工作部件	Tools; Mounting tools
A01B39/24	A01B39/20	5	底盘（A01B 23/04优先） 〔2〕	Undercarriages (A01B 23/04 takes precedence) [2]
A01B39/26	A01B39/20	5	保护植物的装置	Arrangements for protecting plants
A01B39/28	A01B39/00	4	带专用附属装置的 （A01B 49/00 优先） 〔2〕	with special additional arrangements (A01B 49/00 takes precedence) [2]
A01B41/00	A01B	3	间苗机械	Thinning machines
A01B41/02	A01B41/00	4	带摆动工作部件的	with oscillating tools
A01B41/04	A01B41/00	4	带旋转工作部件的	with rotating tools
A01B41/06	A01B41/00	4	用电，例如用光电控制间苗作业的	with electric, e.g. photo-electric control of thinning operations
A01B43/00	A01B	3	除去土壤中石头、不需要的残根或类似杂物的收集机，例如用拖拉机牵引的堆积机 〔4〕	Gatherers for removing stones, undesirable roots or the like from the soil, e.g. tractor-drawn rakes [4]
A01B45/00	A01B	3	草地或草坪处理机械	Machines for treating meadows or lawns
A01B45/02	A01B45/00	4	用于通风的	for aerating
A01B45/04	A01B45/00	4	用于切割草皮或草地的	for cutting sods or turf
A01B47/00	A01B	3	利用工作部件和土壤之间电压差的整地	Soil-working with electric potential applied between tools and soil
A01B49/00	A01B	3	联合作业机械（联接在不同类型机具上的附属部件，比如联接在犁上的耙，见机具的各有关组）	Combined machines (auxiliary devices attached to machines of a different kind, e.g. harrows attached to ploughs, see the relevant groups for the machines)
A01B49/02	A01B49/00	4	带两件或多件不同类型的整地工作部件的	with two or more soil-working tools of different kind
A01B49/04	A01B49/00	4	整地部件与非整地部件，例如播种部件的组合	Combinations of soil-working tools with non-soil-working tools, e.g. planting tools
A01B49/06	A01B49/04	5	播种或施肥用的	for sowing or fertilising
A01B5/00	A01B	3	带有非驱动式滚动工作部件的犁，例如圆盘犁（带有驱动式旋转工作部件的入A01B 9/00）	Ploughs with rolling non-driven tools, e.g. discs (with rotary driven tools A01B 9/00)
A01B5/02	A01B5/00	4	畜力牵引的	drawn by animals
A01B5/04	A01B5/00	4	拖拉机牵引的	drawn by tractors
A01B5/06	A01B5/04	5	不能双向使用的	without alternating possibility
A01B5/08	A01B5/04	5	双向犁	Alternating ploughs
A01B5/10	A01B5/00	4	悬挂或半悬挂在拖拉机上的	mounted or partly-mounted on tractors
A01B5/12	A01B5/10	5	不能双向使用的	without alternating possibility
A01B5/14	A01B5/10	5	双向犁	Alternating ploughs
A01B5/16	A01B5/00	4	自走式圆盘犁或类似的犁	Self-propelled disc or like ploughs
A01B51/00	A01B	3	专门用于安装各种农业机具或装置的底盘（一般车辆入B60或B62的有关小类）	Undercarriages specially adapted for mounting-on various kinds of agricultural tools or apparatus (general vehicle aspects, see the relevant subclass of class B60 or B62)
A01B51/02	A01B51/00	4	发动机驱动的	propelled by a motor
A01B51/04	A01B51/00	4	由畜力或拖拉机牵引的	drawn by animal or tractor
A01B59/00	A01B	3	专门适用于牲畜或拖拉机与农业机具之间联接的装置（A01B 63/00优先；车辆的联接件一般入B60D；畜力牵引车辆的牵引装置一般入 B62C 5/00） 〔3〕	Devices specially adapted for connection between animals or tractors and agricultural machines or implements (A01B 63/00 takes precedence; vehicle connections in general B60D; draught assemblies for animal drawn vehicles, in general B62C 5/00) [3]
A01B59/02	A01B59/00	4	用于畜力牵引机械的	for animal-drawn machines
A01B59/04	A01B59/00	4	用于拖拉机牵引或推进的机械的	for machines pulled or pushed by a tractor
A01B59/041	A01B59/04	5	防止或限制机具侧面间隙的（防止过载的入A01B 61/00） 〔2〕	preventing or limiting side-play of implements (preventing overstrain A01B 61/00) [2]
A01B59/042	A01B59/04	5	牵引装置安装在拖拉机尾部的	having pulling means arranged on the rear part of the tractor
A01B59/043	A01B59/042	6	三点支撑的，例如快速松脱式挂结器（A01B 59/06优先）	supported at three points, e.g. by quick-release couplings (A01B 59/06 takes precedence)
A01B59/044	A01B59/04	5	牵引装置安装在拖拉机中部的	having pulling means arranged on the middle part of the tractor
A01B59/046	A01B59/04	5	牵引或推进装置安装在拖拉机侧面的	having pulling or pushing means arranged on the side of the tractor
A01B59/048	A01B59/04	5	牵引或推进装置安装在拖拉机前部的	having pulling or pushing means arranged on the front part of the tractor
A01B59/06	A01B59/00	4	用于拖拉机悬挂机械的	for machines mounted on tractors
A01B61/00	A01B	3	用于防止农机具过载的装置或农机具的防止过载的部件（车辆联接件上防止过载力的装置一般入B60D；联轴器本身防止过载的装置入F16D） 〔3〕	Devices for, or parts of, agricultural machines or implements for preventing overstrain (preventing overstrain in vehicle connections, in general B60D; preventing overstrain in couplings per seF16D) [3]
A01B61/02	A01B61/00	4	拖拉机与机械之间的联接装置的	of the coupling devices between tractor and machine
A01B61/04	A01B61/00	4	工作部件与底盘梁架之间的联接装置的	of the connection between tools and carrier beam or frame
A01B63/00	A01B	3	农机或农具的提升或调整装置或机构（割草机切割器的提升机构入A01D 34/24；割草机切割器的调整装置入A01D 34/28；提升装置本身结构特点入B66F） 〔3〕	Lifting or adjusting devices or arrangements for agricultural machines or implements (lifting mechanisms for the cutter-bar of a mower A01D 34/24; adjusting devices for the cutter-bar of a mower A01D 34/28; constructional features of lifting devices per seB66F) [3]
A01B63/02	A01B63/00	4	用于拖拉机悬挂农具的	for implements mounted on tractors
A01B63/04	A01B63/02	5	手动装置；带机械蓄能器，例如弹簧的手动装置	Hand devices; Hand devices with mechanical accumulators, e.g. springs
A01B63/06	A01B63/02	5	由拖拉机动力机械操作的	operated mechanically by tractor motor
A01B63/08	A01B63/02	5	由拖拉机的运动操作的	operated by the movement of the tractor
A01B63/10	A01B63/02	5	由液压或气动装置操作的	operated by hydraulic or pneumatic means
A01B63/102	A01B63/10	6	以拖拉机悬挂部位为特征的，如在尾部	characterised by the location of the mounting on the tractor, e.g. on the rear part
A01B63/104	A01B63/102	7	在中部，即在前后轮之间	on the middle part, i.e. between front and rear wheels
A01B63/106	A01B63/102	7	在侧面	on the side
A01B63/108	A01B63/102	7	在前部	on the front part
A01B63/11	A01B63/10	6	用于控制机具与拖拉机车轮之间重量转移的 〔2〕	for controlling weight transfer between implements and tractor wheels [2]
A01B63/111	A01B63/10	6	用于调节机具作业深度的	regulating working depth of implements
A01B63/112	A01B63/111	7	用于控制牵引载荷，即拉力 〔2〕	to control draught load, i.e. tractive force [2]
A01B63/114	A01B63/111	7	保持稳定作业深度的 〔2〕	to achieve a constant working depth [2]
A01B63/118	A01B63/10	6	机具安装于动力提升拉杆上的（A01B 59/043优先；防止或限制机具侧面间隙的入A01B 59/041；防止过载的入A01B 61/00） 〔2〕	Mounting implements on power-lift linkages (A01B 59/043 takes precedence; preventing or limiting side-play of implements A01B 59/041; preventing overstrain A01B 61/00) [2]
A01B63/12	A01B63/02	5	用电动机操作的	operated by an electric motor
A01B63/14	A01B63/00	4	用于牲畜或拖拉机牵引机具的	for implements drawn by animals or tractors
A01B63/16	A01B63/14	5	轮子可相对于机架调整的	with wheels adjustable relatively to the frame
A01B63/18	A01B63/16	6	离合器在Z型轴和车轮之间的	with clutch between Z-type axle and wheel
A01B63/20	A01B63/16	6	有齿轮和齿条装置的	with gear and rack
A01B63/22	A01B63/16	6	用液压和气动装置操作的	operated by hydraulic or pneumatic means
A01B63/24	A01B63/14	5	工作部件或工作部件夹持装置可与机架作相对调整的	Tools or tool-holders adjustable relatively to the frame
A01B63/26	A01B63/24	6	人力的	by man-power
A01B63/28	A01B63/24	6	由机具操作的	operated by the machine or implement
A01B63/30	A01B63/24	6	通过机械传动，由发动机动力操作的	operated by motor power through a mechanical transmission
A01B63/32	A01B63/24	6	用液压或气动装置操作的	operated by hydraulic or pneumatic means
A01B67/00	A01B	3	通过工作部件的阻力控制拖拉机发动机的装置（防止过载的入A01B 61/00）	Devices for controlling the tractor motor by resistance of tools (preventing overstrain A01B 61/00)
A01B69/00	A01B	3	农业机械或农具的转向机构；在所要求的轨道上导引农机具 〔3〕	Steering of agricultural machines or implements; Guiding agricultural machines or implements on a desired track [3]
A01B69/02	A01B69/00	4	隆起标记或类似装置；尺度索；所需附件	Ridge-marking or like devices; Checkrow wires; Accessories therefor
A01B69/04	A01B69/00	4	拖拉机自动转向机构的特殊匹配，例如环路耕作的电力系统	Special adaptations of automatic tractor steering, e.g. electric system for contour ploughing
A01B69/06	A01B69/00	4	由辅助驾驶员操纵的机具横向转向机构	Lateral steering of machines by an additional operator
A01B69/08	A01B69/00	4	由拖拉机的横向移动而导致的农机具横向转向	Lateral steering of machines derived from the lateral movement of tractor
A01B7/00	A01B	3	作为犁或耙或类似机件使用的圆盘式整地机具	Disc-like soil-working implements usable either as ploughs or as harrows, or the like
A01B71/00	A01B	3	安装或调整机构、机具或工作部件的驱动装置或动力输出轴的结构或布置；部件防尘或防类似物的装置；农用机械专用部件	Construction or arrangement of setting or adjusting mechanisms, of implement or tool drive or of power take-off; Means for protecting parts against dust, or the like; Adapting machine elements to or for agricultural purposes
A01B71/02	A01B71/00	4	安装或调整机构	Setting or adjusting mechanisms
A01B71/04	A01B71/00	4	旋转部件的轴承，例如用于整地圆盘的（轴承一般入F16C）	Bearings of rotating parts, e.g. for soil-working discs (bearings in general F16C)
A01B71/06	A01B71/00	4	动力输出轴与机具或机械的传动轴之间的专用联接装置（传递旋转的联轴器入F16D）	Special adaptations of coupling means between power take-off and transmission shaft to the implement or machine (couplings for transmitting rotation F16D)
A01B71/08	A01B71/00	4	防尘或类似物或用于清扫农业机具的装置（A01B 15/16，A01B 19/10，A01B 23/06优先；驱动式旋转耕作部件的防护板入A01B 33/12；旋转部件的防护板一般入F16P 1/00） 〔2〕	Means for protecting against dust or the like, or for cleaning agricultural implements (A01B 15/16, A01B 19/10, A01B 23/06 take precedence; screening of rotary driven tilling tools A01B 33/12; screening of rotary parts in general F16P 1/00) [2]
A01B73/00	A01B	3	农业机械或机具的简便运输工具或装置，如减小总体宽度的折叠机架（用于整地农具提升装置的设备入A01B 63/00；适用于货运或运载特殊货物或物体的车辆入B60P；机动车，拖车入B62D） 〔4〕	Means or arrangements to facilitate transportation of agricultural machines or implements, e.g. folding frames to reduce overall width (arrangements of lifting devices for soil working implements A01B 63/00; vehicles adapted for load transportation or to transport, to carry or to comprise special loads or objects B60P; motor vehicles, trailers B62D) [4]
A01B73/02	A01B73/00	4	折叠机架 〔4〕	Folding frames [4]
A01B73/04	A01B73/02	5	可绕水平轴折叠的 〔4〕	foldable about a horizontal axis [4]
A01B73/06	A01B73/02	5	可绕立轴折叠的 〔4〕	foldable about a vertical axis [4]
A01B75/00	A01B	3	支撑正在田间工作，例如间甜菜苗的人员的运载工具	Carriers for supporting persons when working in the field, e.g. while thinning beet
A01B76/00	A01B	3	在组 A01B 51/00 至A01B 75/00中不包含的农业机械或农具的其他部件、零件或附件 〔8〕	Parts, details or accessories of agricultural machines or implements, not provided for in groups A01B 51/00-A01B 75/00 [8]
A01B77/00	A01B	3	提升和处理土壤的机械（杀生剂，害虫驱避剂或引诱剂，植物生长调节剂入A01N 25/00至A01N 65/00；肥料入C05；土壤改良或土壤稳定材料入C09K 17/00）	Machines for lifting and treating soil (biocides, pest repellants or attractants, plant growth regulators A01N 25/00-A01N 65/00; fertilisers C05; soil-conditioning or soil-stabilising materials C09K 17/00)
A01B79/00	A01B	3	整地方法（必须使用的专用机械见该机械的各相应组）	Methods for working soil (essentially requiring the use of particular machines, see the relevant groups for the machines)
A01B79/02	A01B79/00	4	与其他农业过程，例如施肥、种植相结合的	combined with other agricultural processing, e.g. fertilising, planting
A01B9/00	A01B	3	带有驱动式旋转工作部件的犁（带有驱动式旋转工作部件的耕作机具入A01B 33/00）	Ploughs with rotary driven tools (tilling implements with rotary driven tools A01B 33/00)
A01C	A01	2	种植；播种；施肥（与一般整地结合的入A01B 49/04； 农业机械或农具的部件、零件或附件一般入A01B 51/00至A01B 75/00）	PLANTING; SOWING; FERTILISING (combined with general working of soil A01B 49/04; parts, details or accessories of agricultural machines or implements, in general A01B 51/00-A01B 75/00)
A01C1/00	A01C	3	在播种或种植前测试或处理种子、根茎或类似物的设备或方法（所需化学药物入 A01N 25/00至A01N 65/00）	Apparatus, or methods of use thereof, for testing or treating seed, roots, or the like, prior to sowing or planting (chemicals therefor A01N 25/00-A01N 65/00)
A01C1/02	A01C1/00	4	发芽设备；种子或其类似物发芽能力的测定（制备麦芽时的发芽入C12C 1/027）	Germinating apparatus; Determining germination capacity of seeds or the like (germinating in preparation of malt C12C 1/027)
A01C1/04	A01C1/00	4	种子放于其载体，例如条带、绳索上	Arranging seed on carriers, e.g. on tapes, on cords
A01C1/06	A01C1/00	4	种子的包衣或拌种	Coating or dressing seed
A01C1/08	A01C1/00	4	种子免疫	Immunising seed
A01C11/00	A01C	3	移栽机械（支撑田间工作人员的运载工具入A01B 75/00；树木移栽装置入A01G 23/02）	Transplanting machines (carriers for supporting persons A01B 75/00; transplanting devices for trees A01G 23/02)
A01C11/02	A01C11/00	4	用于种苗	for seedlings
A01C11/04	A01C11/00	4	用于植株的深栽或深移	for deeper setting or shifting of plants
A01C13/00	A01C	3	植株周围固土的机械或设备	Machines or apparatus for consolidating soil around plants
A01C14/00	A01C	3	在本小类的其他组中不包含的用于种植的方法或设备 〔8〕	Methods or apparatus for planting not provided for in other groups of this subclass [8]
A01C15/00	A01C	3	施肥机械（A01C 7/06优先；带离心轮的入A01C 17/00；驱动工作部件的装置入A01C 19/00；用于道路的砂粒，砾石或盐的撒布机入E01C 19/20） 〔2〕	Fertiliser distributors (A01C 7/06 takes precedence; with centrifugal wheels A01C 17/00; arrangements for driving working parts A01C 19/00; sand, gravel or salt spreaders for roads E01C 19/20) [2]
A01C15/02	A01C15/00	4	手工使用的	for hand use
A01C15/04	A01C15/00	4	用吹送器的	using blowers
A01C15/06	A01C15/00	4	带撒布槽的	with distributing slots
A01C15/08	A01C15/06	5	在撒布槽上带推出器或抖动器的	with pushers or stirrers in the slots
