IPC	Parent_IPC	Level	Description	Description_EN
B60P3/42	B60P3/00	4	可由一种用途转换成另一种用途的（可在不同介质内或上行驶的交通工具，轨道、道路两用车入B60F）	convertible from one use to a different one (vehicles capable of travelling in or on different media, rail-and-road vehicles B60F)
B60P5/00	B60P	3	车上称量机械的布置（适合运输车辆使用的称量机械入G01G 19/08）	Arrangements of weighing machines on vehicles (adapting weighing machines to use on transport vehicles G01G 19/08)
B60P7/00	B60P	3	车上货物的固定或覆盖	Securing or covering of load on vehicles
B60P7/02	B60P7/00	4	货物的覆盖	Covering of load
B60P7/04	B60P7/02	5	用篷布或类似柔性料的	by tarpaulins or like flexible members
B60P7/06	B60P7/00	4	货物的固定（车辆定位器入B60P 3/073）〔5〕	Securing of load (vehicle retainers B60P 3/073) [5]
B60P7/08	B60P7/06	5	固定在车地板或两侧的（B60P 7/13，B60P 7/135优先）〔3，5〕	Securing to vehicle floor or sides (B60P 7/13, B60P 7/135 take precedence) [3, 5]
B60P7/10	B60P7/08	6	货物为板、盒或箱	the load being plates, cases, or boxes
B60P7/12	B60P7/08	6	货物为树干、梁、鼓筒、管或类似物	the load being tree-trunks, beams, drums, tubes, or the like
B60P7/13	B60P7/06	5	车上固定货运集装箱或转运集装箱〔3〕	Securing freight containers or forwarding containers on vehicles [3]
B60P7/135	B60P7/06	5	由承载支承装置安装或支承的〔5〕	Securing or supporting by load bracing means [5]
B60P7/14	B60P7/135	6	承载支承装置包括可动隔板的	the load bracing means comprising a movable bulkhead
B60P7/15	B60P7/135	6	承载支承装置包括可动杆件的〔5〕	the load bracing means comprising a movable bar [5]
B60P7/16	B60P7/06	5	防冲击装置	Protecting against shocks
B60P7/18	B60P7/16	6	货运集装箱或转运集装箱的防护〔3〕	Protecting freight containers or forwarding containers [3]
B60P9/00	B60P	3	其他运货为主的车辆	Other vehicles predominantly for carrying loads
