申请人,国家,分国专利数
伊利诺伊大学评议会,世界知识产权组织,1
广东工业大学,中国,1
西安博仕立新材料科技有限公司,中国,2
上海埃延半导体有限公司,中国,1
苏州璋驰光电科技有限公司,中国,1
韩国生产技术研究院,韩国,2
东莞市中镓半导体科技有限公司,中国,3
西安邮电大学 | 宝鸡文理学院,中国,1
窑业技术院,美国,1
康宁公司,世界知识产权组织,1
东北大学佛山研究生创新学院,中国,1
诺维晶科股份有限公司,日本,4
信越化学工业株式会社,日本,17
长治市龙晨科技有限公司,中国,2
深圳市合元科技有限公司,中国,1
三菱瓦斯化学株式会社,中国,1
山东大学 | 燕山大学,中国,1
应用材料股份有限公司,美国,2
诺维晶科股份有限公司,中国,2
四川大学,中国,2
武汉理工大学 | 广东汇成真空科技股份有限公司,中国,1
福斯创弗邦柏林公司,世界知识产权组织,1
合肥工业大学 | 安徽萍聚德医疗科技股份有限公司,中国,1
五邑大学,中国,1
住友电气工业株式会社,日本,10
信越化学工业株式会社,中国,9
拉脱维亚大学固体物理研究所,欧洲专利局,1
世创电子材料股份有限公司 | LEIBNIZ INST FUER KRISTALLZUECHTUNG IM FORSCHUNGSVERBUND BERLIN EV,欧洲专利局,2
西安邮电大学 | 成都工业学院,中国,1
信越化学工业株式会社,韩国,1
江苏第三代半导体研究院有限公司,中国,4
丰田自动车株式会社 | 国立大学法人东京工业大学,日本,1
上海电机学院,中国,3
广西大学,中国,1
苏州燎塬半导体有限公司,中国,2
深圳市尚鼎芯科技有限公司,中国,1
诺维晶科股份有限公司 | 国立大学法人东京农工大学,日本,1
齐鲁工业大学(山东省科学院),中国,1
田村株式会社 | 诺维晶科股份有限公司,中国,2
江苏宝浦莱半导体有限公司,中国,1
卢密基恩科技股份有限公司,中国,1
中国地质大学(武汉)浙江研究院 | 中国地质大学(武汉),中国,1
广东省科学院资源利用与稀土开发研究所,中国,1
明電納米製程創新股份有限公司,日本,3
株式会社FLOSFIA,日本,18
世创电子材料股份有限公司,新加坡,1
世创电子材料股份有限公司,中国,1
湖南锐健科技有限公司,中国,1
KOREA MAINTENANCE CO LTD,韩国,1
